"自治","じち","self-government, autonomy; local (governmental) autonomy"
"実感","じっかん","real feeling, actual feeling; to actually feel, to have a real feeling (that ...), to experience personally"
"実習","じっしゅう","practice (in the field), training (esp. practical and hands-on), practical exercise, drill"
"実績","じっせき","achievements, actual results, accomplishments, past results, track record"
"実物","じつぶつ","real thing, original, actual"
"実用","じつよう","practical use, utility"
"実力","じつりょく","(real) ability, true strength, merit, efficiency, competency; arms, force"
"実例","じつれい","example, illustration, precedent"
"児童","じどう","children, juvenile"
"地盤","じばん","ground, crust (earth), bed (gravel, river, etc.); foundation (building, etc.), base; constituency, power base, support (electoral), footing, foothold"
"地味","じみ","plain, simple, subdued, sober; reserved (behaviour, attitude, etc.), modest, quiet, unobtrusive; quite, a (little) bit"
"弱点","じゃくてん","weak point, weakness, shortcoming, defect, flaw, sore spot, tender spot"
"蛇口","じゃぐち","faucet, tap"
"じゃん拳","じゃんけん","rock-paper-scissors (game), janken"
"","ジャーナリスト","journalist"
"住居","じゅうきょ","dwelling, house, residence, address"
"重体","じゅうたい","serious condition, critical condition"
"絨毯","じゅうたん","carpet, rug, runner"
"重点","じゅうてん","important point, emphasis, stress, importance, priority; iteration mark; colon (punctuation)"
"重役","じゅうやく","(company) director, executive, top management; important post, role with heavy responsibilities"
"重量","じゅうりょう","weight; heavyweight boxer"
"重力","じゅうりょく","gravity, gravitation, gravitational pull"
"熟語","じゅくご","kanji compound; idiom, idiomatic phrase"
"受験","じゅけん","taking an examination (esp. for entrance to a school or university)"
"述語","じゅつご","predicate; predicate"
"寿命","じゅみょう","life span"
"受話器","じゅわき","(telephone) receiver"
"循環","じゅんかん","circulation, rotation, cycle, loop"
"巡査","じゅんさ","police officer, policeman, constable"
"順々","じゅんじゅん","in order, in turn"
"順序","じゅんじょ","order, sequence; procedure"
"純情","じゅんじょう","pure heart, naivete, innocence"
"純粋","じゅんすい","pure, true, genuine, unmixed"
"蒸気","じょうき","steam, vapour, vapor; steamboat, steam locomotive"
"上級","じょうきゅう","upper level, upper grade, high rank, advanced level, senior level, upper class"
"定規","じょうぎ","(measuring) ruler"
"上下","じょうげ","top and bottom, high and low, above and below, upper and lower ends, up and down; going up and down, rising and falling, fluctuating; going and coming back; upper and lower classes, ruler and ruled, the government and the people; first and second volumes"
"乗車","じょうしゃ","boarding (a train, bus, etc.), getting into (e.g. a taxi)"
"上旬","じょうじゅん","first 10 days of month"
"蒸発","じょうはつ","evaporation; disappearance (of a person), vanishing without a trace"
"助教授","じょきょうじゅ","assistant professor, associate professor"
"塵芥","じんかい","rubbish, trash, garbage, refuse; worthless thing"
"人造","じんぞう","artificial, man-made, imitation, synthetic"
"人文科学","じんぶんかがく","humanities, social sciences, liberal arts"
"人命","じんめい","(human) life"
"酢","す","vinegar"
"水産","すいさん","aquatic products, fisheries"
"炊事","すいじ","cooking, kitchen work"
"水蒸気","すいじょうき","water vapour, water vapor, steam"
"水素","すいそ","hydrogen (H)"
"垂直","すいちょく","vertical; perpendicular"
"推定","すいてい","presumption, assumption; estimation"
"水滴","すいてき","drop of water; vessel for replenishing inkstone water"
"水筒","すいとう","canteen, flask, water bottle, thermos"
"水分","すいぶん","water, liquid, fluid, moisture, humidity, sap, juice"
"水平","すいへい","horizontal, level, even"
"水平線","すいへいせん","horizon (related to bodies of water)"
"水曜","すいよう","Wednesday"
"末っ子","すえっこ","youngest child"
"","スカーフ","scarf (esp. a lightweight summer scarf worn by women)"
"好き嫌い","すききらい","likes and dislikes, pickiness (about food), choosiness, fussiness, tastes, preferences"
"好き好き","すきずき","matter of taste"
"透き通る","すきとおる","to be transparent, to be see-through, to be clear; to be clear (voice, sound)"
"隙間","すきま","crevice, crack, gap, opening, clearance; spare moment, interval, break, pause, spare time; chink (in one's armor, armour), unpreparedness, carelessness"
"杉","すぎ","Japanese cedar (Cryptomeria japonica)"
"少なくとも","すくなくとも","at least"
"","スクール","school"
"","スケジュール","schedule"
"鈴","すず","bell (often globular)"
"涼む","すずむ","to cool oneself, to cool off, to enjoy the cool air"
"","スタート","start, beginning; starting (e.g. a race), departing, starting point, starting line"
"","スチュワーデス","stewardess, (female) flight attendant"
"","すっきり","refreshingly, with a feeling of relief, pleasantly, (a weight) off one's shoulder; shapely, neatly, refinedly; cleanly, without trouble; clearly, plainly, distinctly; completely, thoroughly; not at all (with negative sentence), not even slightly"
"酸っぱい","すっぱい","sour, acid"
"捨てる","すてる","to throw away, to cast away, to dump, to discard; to abandon, to desert, to leave; to give up, to resign"
"","ステージ","stage; performance"
"","ストッキング","stockings"
"","ストップ","stop"
"素直","すなお","obedient, meek, docile, unaffected; honest, frank, upfront (about one's feelings)"
"","スピーカー","speaker"
"住まい","すまい","dwelling, house, residence, address; living, life"
"済まない","すまない","inexcusable, unjustifiable, unpardonable; sorry, remorseful, apologetic, conscience-stricken, contrite; excuse me, (I'm) sorry, thank you"
"","スマート","smart (clothing, etc.), stylish; slim, slender; skilful, slick, clever, adroit"
"墨","すみ","sumi, India ink, Chinese ink, ink stick, ink-cake; squid ink, octopus ink; carpenter's inking string"
"澄む","すむ","to become clear (water, air, etc.), to become transparent; to resonate clearly (e.g. voice); to become serene, to become tranquil, to be free of worries; to pronounce as an unvoiced sound"
"相撲","すもう","sumo wrestling; wrestler, rikishi"
"","スライド","slide (for projection), transparency; (microscope) slide; to slide, to slip; to shift (e.g. a group of items in a schedule), to move; to change (with a sliding scale), to index (to), to peg"
"掏摸","すり","pickpocket"
"刷る","する","to print; to color or pattern fabric using a wooden mold"
"すれ違う","すれちがう","to pass (by) each other, to brush past; to miss (meeting) each other, to fail to meet; to be at odds, to clash, to be in conflict"
"寸法","すんぽう","measurement, size, extent, dimension; plan, intention, arrangement, schedule"
"随筆","ずいひつ","essays, miscellaneous writings, literary jottings"
"図々しい","ずうずうしい","impudent, shameless, brazen, forward, audacious, cheeky"
"図鑑","ずかん","pictorial book, picture book, illustrated reference book, identification manual, field guide"
"図形","ずけい","figure, shape, graphic"
"","ずっと","continuously in some state (for a long time, distance), throughout, all along, the whole time, all the way; much (better, etc.), by far, far and away; far away, long ago; direct, straight"
"頭脳","ずのう","head, brains; intellect, understanding"
"図表","ずひょう","chart, diagram, graph, figure"
"","ずらす","to shift, to move, to slide; to move (an appointment, meeting, etc.), to bring forward, to put back, to put off, to delay, to postpone, to stagger (e.g. working hours)"
"","ずらり","in a row, in a line"
"狡い","ずるい","sly, cunning, sneaky, crafty, unfair, dishonest; miserly, mean, stingy"
"","ずれる","to slide, to slip off, to get dislocated, to be out of alignment, to get dislodged, to deviate, to shift (position), to be out of sync, to be slightly off, to be off-point"
"姓","せい","surname, family name; hereditary title (used in ancient Japan to denote rank and political standing)"
"製作","せいさく","manufacture, production"
"制作","せいさく","work (film, book); production, creation, turning (something) out, development"
"性質","せいしつ","nature, property, disposition"
"清書","せいしょ","fair copy, clean copy"
"青少年","せいしょうねん","youth, young person"
"整数","せいすう","integer"
"清掃","せいそう","cleaning, clean-up, garbage collection, scavenging"
"生存","せいぞん","existence, being, survival; to exist, to live, to survive"
"生長","せいちょう","growth (of a plant)"
"政党","せいとう","political party"
"生年月日","せいねんがっぴ","birth date, date of birth, DOB"
"性能","せいのう","ability, performance, efficiency"
"整備","せいび","maintenance, servicing; putting in place, establishment, development, preparation, provision, outfitting"
"成分","せいぶん","ingredient, component, composition"
"性別","せいべつ","gender, distinction of sex, sex"
"正方形","せいほうけい","square"
"正門","せいもん","main gate, main entrance"
"成立","せいりつ","formation, establishment, materialization, coming into existence; conclusion (e.g. of a deal), reaching (e.g. an agreement), approval, completion, closing, enacting, arrangement; being valid (of a theory, argument, etc.), holding, applying"
"西暦","せいれき","Common Era, CE, Christian Era, anno domini, AD; Western (Gregorian) calendar"
"背負う","せおう","to carry on one's back; to be burdened with, to take responsibility for; to have (something) in the background, to be in front (of something); to be conceited, to think highly of oneself"
"赤道","せきどう","equator"
"折角","せっかく","with trouble, at great pains; rare, valuable, precious, long-awaited; kind, generous; specially, especially, expressly"
"接近","せっきん","getting closer, drawing nearer, approaching; being not much different, being near (age, skill, etc.); becoming close (i.e. friendly), becoming intimate"
"石鹸","せっけん","soap"
"接する","せっする","to touch, to come in contact with, to border on, to adjoin, to be adjacent, to be close; to receive (e.g. visitor), to attend to, to serve, to take care of, to look after, to act towards, to deal with, to see; to receive (news), to get, to hear; to encounter, to come across; to be tangent to; to make touch, to bring into contact with, to bring adjacent to, to bring close, to connect"
"","せっせと","diligently, assiduously, industriously, beavering away"
"接続","せつぞく","connection, attachment, union, join, joint, link; changing trains; conjunction"
"瀬戸物","せともの","earthenware, porcelain, china, pottery, crockery"
"迫る","せまる","to approach, to draw near, to be imminent; to press (someone for something), to urge, to compel"
"攻め手","せめて","offense, offence, method of attack"
"攻める","せめる","to attack, to assault, to assail"
"","セメント","cement"
"栓","せん","stopper, cork, plug, bung; tap, faucet, stopcock"
"洗剤","せんざい","detergent, cleanser, cleaning agent, washing material"
"扇子","せんす","folding fan"
"専制","せんせい","despotism, autocracy"
"先々月","せんせんげつ","month before last"
"先々週","せんせんしゅう","week before last"
"先祖","せんぞ","ancestor, forefather, foremother"
"先端","せんたん","pointed end, tip, point, cusp (of a leaf, crescent moon, etc.), apex (of a curve); forefront, vanguard, spearhead, leading edge"
"","センチ","centimeter, centimetre; centi-, 10^-2; sentimental"
"宣伝","せんでん","publicity, advertisement, advertising, propaganda"
"先頭","せんとう","head (of a line, group, etc.), front, lead, forefront, vanguard"
"扇風機","せんぷうき","electric fan"
"線路","せんろ","railway track, railway line, railroad, railway, track, line"
"税関","ぜいかん","customs, customs house"
"是非とも","ぜひとも","by all means, at all costs, absolutely"
"","ゼミ","seminar"
"前後","ぜんご","front and rear, front and back, before and behind, back and forth; before and after; around, about, approximately; order, context; consequences; just when, around the time of; inversion, reversion, getting out of order; co-occurring, happening at the same time"
"全集","ぜんしゅう","complete works, complete collection, complete series"
"全身","ぜんしん","whole (body), full-length (e.g. portrait); systemic"
"全般","ぜんぱん","(the) whole; as a whole, in general, at large"
"相違","そうい","difference, discrepancy, variation"
"そう言えば","そういえば","now that you mention it, come to think of it, that reminds me, on that subject, speaking of which"
"倉庫","そうこ","storehouse, warehouse, godown"
"相互","そうご","mutual, reciprocal"
"創作","そうさく","creation, production, creative work (novel, film, etc.), original work, (creative) writing; fabrication, fiction, invention"
"葬式","そうしき","funeral"
"然うして","そうして","and, like that"
"騒々しい","そうぞうしい","noisy, loud, boisterous, clamorous, raucous; turbulent, unsettled, restless"
"送別","そうべつ","farewell, send-off"
"総理大臣","そうりだいじん","prime minister (as the head of a cabinet government), premier"
"送料","そうりょう","postage, carriage, shipping charge"
"速達","そくたつ","express, special delivery"
"測定","そくてい","measurement"
"測量","そくりょう","measurement, surveying"
"速力","そくりょく","speed"
"素質","そしつ","makings (of), aptitude, talent, qualities; nature, character, temperament"
"祖先","そせん","ancestor"
"","そそっかしい","careless, thoughtless, hasty, rash"
"率直","そっちょく","frank, candid, straightforward, openhearted, direct, outspoken"
"","そっと","softly, gently, quietly, lightly; stealthily, secretly, in secret; to leave alone, to leave as it is"
"備える","そなえる","to furnish with, to equip with, to provide, to install; to prepare for, to make preparations for, to make provision for; to possess (all that is needed), to be endowed with, to be equipped with; to be born with, to have since birth"
"その上","そのうえ","in addition, furthermore; above (which), on top of (which)"
"その頃","そのころ","at that time, in those days, at that moment, then"
"その為","そのため","hence, for that reason"
"その他","そのほか","the rest, the others; in addition (to that), besides that, other than that, and other ...; and so forth, and the like, and what have you, et cetera"
"蕎麦","そば","buckwheat (Fagopyrum esculentum); soba, Japanese buckwheat noodles; Chinese-style noodles"
"剃る","そる","to shave"
"","それなのに","and yet, despite this, but even so, but even then, however, nevertheless, for all that, notwithstanding that"
"逸れる","それる","to turn away, to bear off, to veer away, to swerve from, to miss (e.g. a target); to deviate (e.g. of a conversation), to digress, to go astray, to wander"
"揃う","そろう","to be complete, to be all present, to make a full set, to be satisfied (of conditions); to be equal, to be uniform, to be even, to match, to agree; to gather, to assemble, to be collected"
"揃える","そろえる","to collect, to gather, to get together, to complete (a collection); to arrange, to put in order, to prepare, to get ready; to make uniform, to make even, to match"
"算盤","そろばん","abacus, soroban; calculation (esp. of profit and loss), reckoning"
"損得","そんとく","loss and gain, advantage and disadvantage"
"雑巾","ぞうきん","house-cloth, dust cloth"
"増減","ぞうげん","increase and decrease, fluctuation"
"造船","ぞうせん","shipbuilding"
"増大","ぞうだい","enlargement, increase"
"草履","ぞうり","zori, traditional Japanese thonged sandals"
"属する","ぞくする","to belong to, to come under, to be affiliated with, to be subject to"
"続々","ぞくぞく","successively, one after another"
"存じる","ぞんじる","to think, feel, consider, know, etc."
"存ずる","ぞんずる","to think, feel, consider, know, etc."
"","タイア","tire, tyre"
"退院","たいいん","leaving hospital, discharge from hospital"
"体系","たいけい","system, organization, organisation, architecture"
"太鼓","たいこ","drum"
"対策","たいさく","measure, step, countermeasure, counterplan, countermove, strategy, preparation (e.g. for a test)"
"大して","たいして","(not so) much, (not) very"
"対照","たいしょう","contrast, antithesis, comparison"
"体制","たいせい","order, system, structure, set-up, organization, organisation"
"体積","たいせき","capacity, volume"
"大層","たいそう","very, extremely, exceedingly, greatly, terribly; extreme, excessive, great many, large number of; splendid, impressive, tremendous, immense; exaggerated"
"体操","たいそう","gymnastics, physical exercises; artistic gymnastics, gymnastics competition; physical education (class), PE"
"大木","たいぼく","large tree"
"対立","たいりつ","confrontation, opposition, antagonism"
"田植え","たうえ","rice planting"
"絶えず","たえず","constantly, always, continually, steadily"
"高める","たかめる","to raise, to lift, to boost, to enhance"
"耕す","たがやす","to till, to plow, to plough, to cultivate"
"滝","たき","waterfall; rapids"
"焚く","たく","to burn, to kindle, to light (a fire), to make (a fire); to heat (a bath), to light (a stove), to stoke (a boiler); to use (a camera flash)"
"炊く","たく","to cook (grains, e.g. rice); to boil, to simmer, to stew, to seethe"
"蓄える","たくわえる","to store, to save up, to stock up on, to lay in stock, to set aside; to accumulate (e.g. knowledge), to build up (e.g. experience), to develop (e.g. one's skills); to grow (a beard, moustache, etc.), to wear"
"竹","たけ","bamboo (any grass of subfamily Bambusoideae); middle (of a three-tier ranking system)"
"助かる","たすかる","to be saved, to be rescued, to survive; to escape harm, to be spared damage; to be helped, to be saved trouble"
"畳む","たたむ","to fold (clothes, umbrella); to close (a shop, business); to vacate"
"只","ただ","ordinary, common, usual; free of charge; unaffected, as is, safe; only, merely, just, simply; but, however, nevertheless"
"但し","ただし","but, however, provided that"
"立ち止まる","たちどまる","to stop (in one's tracks), to come to a stop, to halt, to pause, to stand still"
"忽ち","たちまち","in an instant, in a moment, immediately, right away, at once; suddenly, all of a sudden, all at once"
"立つ","たつ","to stand, to rise, to stand up; to find oneself (e.g. in a difficult position); to depart (on a plane, train, etc.)"
"建つ","たつ","to be erected, to be built"
"例える","たとえる","to compare (something) to, to liken, to speak figuratively, to use a simile, to use a metaphor"
"頼もしい","たのもしい","reliable, trustworthy; hopeful, promising"
"足袋","たび","tabi, Japanese socks (with split toe)"
"溜まる","たまる","to collect, to gather, to save, to accumulate, to pile up"
"ため息","ためいき","sigh"
"躊躇う","ためらう","to hesitate, to waver"
"溜める","ためる","to amass, to accumulate, to store; to leave unpaid"
"足る","たる","to be sufficient, to be enough; to be worth doing, to be worthy of, to deserve; to do (the job), to serve, to answer"
"短期","たんき","short-term"
"炭鉱","たんこう","coal mine, (coal) pit, colliery; coal-mine shaft"
"短所","たんしょ","defect, demerit, weak point, disadvantage"
"箪笥","たんす","chest of drawers, bureau, cabinet, tansu, dresser"
"淡水","たんすい","fresh water (i.e. not salt water)"
"単数","たんすう","singular number"
"短編","たんぺん","short (e.g. story, film)"
"田んぼ","たんぼ","paddy field, farm"
"","ダイアグラム","diagram"
"第一","だいいち","first, foremost, number one; most important; best, greatest, most; above all, besides, in any case, to begin with"
"大学院","だいがくいん","graduate school"
"大工","だいく","carpenter"
"大小","だいしょう","size; large and small (sizes), various sizes; daishō (matched pair of long and short swords); large and small drums; long months and short months; sic bo (Macao dice game), tai sai, dai siu, big and small"
"大分","だいぶ","considerably, greatly, a lot"
"題名","だいめい","title, caption, heading"
"代名詞","だいめいし","pronoun; synonym, classic example, pattern, byword, representative"
"","ダイヤモンド","diamond (mineral, gemstone); diamond, infield; diamond (card suit)"
"","ダイヤル","dial (e.g. telephone, radio, clock, gauge)"
"楕円","だえん","ellipse"
"脱線","だっせん","derailment; digression, deviation"
"妥当","だとう","valid, proper, right, appropriate, reasonable"
"","ダブる","to be duplicated, to be repeated; to overlap, to fall together (of dates, etc.), to coincide; to repeat (a failed course, school year, etc.); to make a double play; to make a double fault (in tennis)"
"騙す","だます","to trick, to cheat, to deceive; to coax, to wheedle, to soothe and humor (humour)"
"","ダム","dam; dumb"
"だらし無い","だらしない","slovenly (appearance, work, etc.), sloppy, untidy, undisciplined, careless, loose, slack; weak, feeble, weak-willed, gutless"
"段階","だんかい","stage, step, phase; level, rank, grade, gradation; order; stairs"
"断水","だんすい","suspension of water supply, water outage"
"団地","だんち","multi-unit apartments, apartment complex"
"断定","だんてい","conclusion, decision, judgement, declaration; affirmative"
"誓う","ちかう","to swear, to vow, to take an oath, to pledge"
"地下水","ちかすい","underground water"
"近々","ちかぢか","soon, before long, shortly, in the near future; close (by), near, nearby"
"近づける","ちかづける","to bring near, to bring close, to let go near; to associate with, to bring (people) together, to let come near (of a person)"
"近寄る","ちかよる","to approach, to draw near"
"力強い","ちからづよい","powerful, strong, forceful, vigorous; reassuring, encouraging"
"千切る","ちぎる","to tear to pieces, to tear to shreds, to tear up; to pick (e.g. fruit), to pluck, to tear off; to do ... heavily, to do ... heartily, to do ... vigorously"
"地質","ちしつ","geological features"
"知人","ちじん","friend, acquaintance"
"地帯","ちたい","area, zone, belt (of land)"
"縮む","ちぢむ","to shrink, to contract, to diminish (in size)"
"縮める","ちぢめる","to shorten, to reduce, to condense, to shrink; to crumple (fabric), to wrinkle; to make (one's body) smaller, to draw in (one's legs), to duck (one's head)"
"縮れる","ちぢれる","to be wavy, to be curled, to be frizzled"
"","チップ","tip, gratuity; foul tip; tip (of a ballpoint pen)"
"地点","ちてん","site, point on a map, spot"
"地名","ちめい","place name, toponym"
"茶色い","ちゃいろい","light brown, tawny"
"着々","ちゃくちゃく","steadily"
"茶碗","ちゃわん","rice bowl, tea cup, teacup"
"中間","ちゅうかん","middle, midway, halfway, centre, center; middle position, moderate position, neutral position, middle-of-the-road position; interim, intermediary, intermediate, midterm"
"抽象","ちゅうしょう","abstract"
"中旬","ちゅうじゅん","middle of a month, second third of a month, 11th to 20th day of a month"
"中性","ちゅうせい","neutrality (incl. chemical, electrical, etc.), indifference; sexlessness, androgyny, androgyne, neuter; neuter gender"
"中世","ちゅうせい","Middle Ages (in Japan esp. the Kamakura and Muromachi periods), medieval times, mediaeval times"
"中途","ちゅうと","halfway, midway, partway, mid-course"
"中年","ちゅうねん","middle-age, middle age, midlife, one's middle years"
"超過","ちょうか","excess, being more than"
"彫刻","ちょうこく","carving, engraving, sculpture"
"長所","ちょうしょ","strong point, merit, virtue, advantage"
"長女","ちょうじょ","eldest daughter, first-born daughter"
"調整","ちょうせい","adjustment, regulation, coordination, reconciliation, tuning, fixing, tailoring"
"調節","ちょうせつ","regulation, adjustment, control"
"長短","ちょうたん","(relative) length; advantages and disadvantages, pluses and minuses, strong and weak points, merits and demerits"
"頂点","ちょうてん","top, summit; vertex"
"長男","ちょうなん","eldest son (may be the only son), first-born son"
"長方形","ちょうほうけい","rectangle, oblong"
"調味料","ちょうみりょう","seasoning, flavoring, flavouring, condiment"
"直後","ちょくご","immediately following"
"直線","ちょくせん","straight line"
"直前","ちょくぜん","just before"
"直通","ちょくつう","direct line, direct communication, connecting directly, through service, nonstop service"
"直流","ちょくりゅう","direct current, DC"
"貯蔵","ちょぞう","storage, preservation"
"直角","ちょっかく","right angle, perpendicular"
"直径","ちょっけい","diameter"
"","チョーク","chalk"
"散らかす","ちらかす","to scatter around, to leave untidy, to make a mess"
"散らかる","ちらかる","to be in disorder, to lie scattered around"
"散らす","ちらす","to scatter, to cause a shower of; to disperse, to distribute, to spread; to resolve (a symptom, condition, etc.), to relieve, to get rid of, to cure; to distract, to divert; to do ... wildly (i.e. disorderly or frequently), to do ... all over the place"
"ちり紙","ちりがみ","tissue paper, toilet paper"
"散る","ちる","to fall (e.g. blossoms, leaves); to scatter, to be dispersed; to disappear, to dissolve, to break up; to spread, to run, to blur; to die a noble death"
"追加","ついか","addition, supplement, appending, appendix"
"序で","ついで","opportunity, occasion, chance; order, sequence; successor"
"通貨","つうか","currency"
"通勤","つうきん","commuting to work"
"通ずる","つうずる","to be open (to traffic), to lead to, to communicate (with); to flow (liquid, current), to pass, to get through to; to be understood, to be comprehended; to be honored, to be good; to be well versed in, to be well-informed; to communicate clandestinely, to keep in touch (e.g. with the enemy); to form a liaison, to be intimate"
"通知","つうち","notice, notification, report, posting; notification (on a smartphone, PC, etc.)"
"通帳","つうちょう","passbook, bankbook"
"通訳","つうやく","interpretation (i.e. oral translation); interpreter"
"通用","つうよう","popular use, circulation; to pass as, to pass for"
"通路","つうろ","passage, pathway, roadway, avenue, aisle"
"付き合う","つきあう","to associate with, to keep company with, to go out with, to go steady with, to get on with; to go along with, to follow someone's lead, to accompany someone, to compromise"
"突き当たり","つきあたり","end (of a street, hallway, etc.)"
"突き当たる","つきあたる","to run into, to collide with, to crash into, to bump against; to come to the end of (a street); to run into (difficulties, problems, etc.), to run up against"
"月日","つきひ","time, years, days, (one's) life; the Moon and the Sun"
"点く","つく","to be lit (of a lamp, burner, etc.), to catch fire, to ignite, to start burning; to be turned on (of a light, appliance, etc.), to come on"
"突く","つく","to prick, to stab; to poke, to prod, to push, to thrust, to nudge, to hit, to strike; to use (a cane), to prop oneself up with, to press against (the floor, etc.); to attack; to brave (the rain, etc.)"
"作る","つくる","to make, to produce, to manufacture, to build, to construct; to prepare (food), to brew (alcohol); to raise, to grow, to cultivate, to train; to till; to draw up (a document), to make out, to prepare, to write; to create (an artistic work, etc.), to compose; to coin (a phrase), to organize, to organise, to establish, to found; to have (a child); to make up (one's face, etc.); to fabricate (an excuse, etc.); to give a (false) appearance, to feign (a smile, etc.), to put on a show of emotion; to form (a line, etc.); to set (a record); to commit (a sin, etc.)"
"次ぐ","つぐ","to rank next to, to come after"
"点ける","つける","to turn on, to switch on, to light up"
"付ける","つける","to attach, to join, to add, to append, to affix, to stick, to glue, to fasten, to sew on, to apply (ointment); to furnish (a house with); to wear, to put on; to keep a diary, to make an entry; to appraise, to set (a price); to allot, to budget, to assign; to bring alongside; to place (under guard or doctor); to follow, to shadow; to load, to give (courage to); to keep (an eye on); to establish (relations or understanding); to turn on (light); to produce flowers, to produce fruit; to do intensely"
"漬ける","つける","to soak (in), to steep, to dip, to dunk; to pickle, to preserve (in salt, vinegar, etc.)"
"伝わる","つたわる","to spread (of a rumour, news, etc.), to travel, to circulate, to go around, to be passed around, to become known; to be handed down (from generation to generation), to be passed down; to be introduced (to a country, region, etc.), to be brought, to come; to be conveyed (of a feeling, impression, etc.), to be felt, to come across; to travel (of sound, electricity, etc.), to propagate, to be conducted, to be transmitted; to go along, to move along"
"突っ込む","つっこむ","to thrust (something) into (something), to cram, to stuff, to shove; to plunge into, to charge into, to rush into, to ram into, to crash into; to delve into (a matter), to go into depth, to get to the heart (of something); to press (someone) about, to point out (e.g. an inconsistency), to question sharply, to grill; to get involved with, to meddle in, to poke one's nose into; to riposte, to retort, to quip"
"勤める","つとめる","to work (for), to be employed (at), to serve (in); to serve (as), to act (as), to fill (the position of), to play the role (of); to conduct a religious service"
"努める","つとめる","to endeavor (to do), to endeavour, to try, to strive, to make an effort, to exert oneself, to be committed (to doing)"
"綱","つな","rope, cord, line; grand champion's braided belt"
"繋がり","つながり","connection, link, relationship"
"繋がる","つながる","to be tied together, to be connected to, to be linked to; to lead to, to be related to; to be related (by blood)"
"繋げる","つなげる","to connect; to tie, to fasten; to transfer (phone call)"
"粒","つぶ","grain, bead, drop; counter for small round objects including grains, seeds, pills, drops"
"潰す","つぶす","to smash, to crush, to flatten; to shut down, to put out of business, to force (a company) to close up shop; to wreck, to break, to block, to thwart; to butcher, to slaughter, to kill (livestock, for food); to kill (time), to while away (the time), to use up (one's time); to waste (e.g. talents)"
"潰れる","つぶれる","to be crushed, to be smashed, to be broken, to collapse; to become useless, to cease functioning, to be wasted (e.g. time); to go bankrupt, to go out of business, to fail"
"躓く","つまずく","to trip (over), to stumble; to fail, to suffer a setback"
"詰まる","つまる","to be packed (with), to be full (space, schedule, etc.); to be blocked (road, pipe, nose, etc.), to be clogged, to be plugged up; to shorten (width, interval, etc.), to shrink (shirt, word form, etc.), to narrow; to be at a loss, to be hard pressed; to end up, to be settled; to become a geminate consonant; to hit the ball near the handle of the bat"
"積む","つむ","to pile up, to stack; to load (car, ship, etc.), to pack; to acquire, to accumulate"
"爪","つめ","nail (e.g. fingernail, toenail), claw, talon, hoof; plectrum, pick; hook, clasp"
"艶","つや","gloss, luster, lustre, shine, sheen, polish; mellowness (of a voice), youthfulness (e.g. of skin); interest, appeal, charm, color, colour, feeling; romance, love, sexiness"
"強気","つよき","confident, assured, self-assured, firm, strong, cocksure; bullish (e.g. market)"
"釣り合う","つりあう","to balance, to be in harmony, to be in equilibrium; to suit, to go well together, to be a good match"
"吊る","つる","to hang, to suspend, to sling, to wear (e.g. a sword), to put up (e.g. a shelf); to hang oneself; to hoist an opponent off of his feet by his loincloth; to turn upwards (as if being pulled), to be slanted (of eyes); to pucker (e.g. of a seam), to be pulled tight"
"吊るす","つるす","to hang, to hang up"
"手洗い","てあらい","washing one's hands, water (or basin, etc.) for washing one's hands; restroom, lavatory, toilet; hand-washing (laundry, etc.)"
"定員","ていいん","fixed number (of people), prescribed number (of regular personnel, students, etc.), quota, numerical limit, complement; capacity (of a bus, boat, theatre, etc.), seating capacity"
"低下","ていか","fall, decline, lowering, deterioration, degradation"
"定価","ていか","list price, regular price, established price"
"定期券","ていきけん","commuter pass, season ticket"
"定休日","ていきゅうび","regular holiday, fixed day off, regular closing day"
"停止","ていし","stoppage, coming to a stop, halt, standstill; ceasing (movement, activity, etc.), suspension (of operations), interruption (e.g. of electricity supply), cutting off; suspension (of payment, a licence, etc.), (temporary) prohibition, ban; suspension of music, dance, etc. as a sign of mourning for a prominent person"
"停車","ていしゃ","stopping (of a train, car, etc.), stop"
"停電","ていでん","power outage, electricity outage, blackout, failure of electricity supply"
"手入れ","ていれ","care, looking after, repair, maintenance, tending, trimming, grooming; (police) raid, crackdown"
"的確","てきかく","precise, accurate, appropriate, exactly the right"
"手首","てくび","wrist"
"手ごろ","てごろ","handy, convenient; suitable, reasonable, moderate"
"手帳","てちょう","notebook, memo pad, (pocket) diary; certificate; identification card"
"鉄橋","てっきょう","railway bridge, iron bridge"
"鉄砲","てっぽう","gun; wooden pole that wrestlers strike in practice; puffer fish"
"手続き","てつづき","procedure, process, proceedings, formalities"
"","テニスコート","tennis court"
"手ぬぐい","てぬぐい","(hand) towel"
"手前","てまえ","before oneself, in front of one, nearby; a bit before reaching (a location), this side (of a location); one's standpoint, one's appearance, face, honour; skill, dexterity, artistry, ingenuity; tea-ceremony procedures; I, me; you"
"照らす","てらす","to shine on, to illuminate; to compare (with), to refer to"
"照る","てる","to shine; to look slightly upward (of a noh mask; indicating joy, etc.)"
"展開","てんかい","development, evolution, progression, unfolding, (plot) twist; expansion, spreading out, extending, deployment, building up; expansion (of an algebraic expression); development (of a three-dimensional shape); extraction (of compressed data), decompression, unpacking"
"点数","てんすう","marks, points, score, grade, runs (baseball); number of items, number of articles"
"転々","てんてん","moving from place to place, being passed around repeatedly; rolling about"
